Tiempo_s,Voltaje_V
9.1938,2.41176470588235
9.194,2.3921568627451
9.1942,2.3921568627451
9.1944,2.41176470588235
9.1946,2.43137254901961
9.1948,2.43137254901961
9.195,2.43137254901961
9.1952,2.45098039215686
9.1954,2.49019607843137
9.1956,2.47058823529412
9.1958,2.47058823529412
9.196,2.49019607843137
9.1962,2.52941176470588
9.1964,2.52941176470588
9.1966,2.52941176470588
9.1968,2.54901960784314
9.197,2.56862745098039
9.1972,2.56862745098039
9.1974,2.56862745098039
9.1976,2.58823529411765
9.1978,2.62745098039216
9.198,2.64705882352941
9.1982,2.64705882352941
9.1984,2.66666666666667
9.1986,2.68627450980392
9.1988,2.70588235294118
9.199,2.68627450980392
9.1992,2.70588235294118
9.1994,2.76470588235294
9.1996,2.80392156862745
9.1998,2.7843137254902
9.2,2.7843137254902
9.2002,2.82352941176471
9.2004,2.82352941176471
9.2006,2.80392156862745
9.2008,2.7843137254902
9.201,2.80392156862745
9.2012,2.82352941176471
9.2014,2.7843137254902
9.2016,2.74509803921569
9.2018,2.70588235294118
9.202,2.68627450980392
9.2022,2.64705882352941
9.2024,2.58823529411765
9.2026,2.52941176470588
9.2028,2.49019607843137
9.203,2.43137254901961
9.2032,2.35294117647059
9.2034,2.31372549019608
9.2036,2.31372549019608
9.2038,2.29411764705882
9.204,2.25490196078431
9.2042,2.2156862745098
9.2044,2.2156862745098
9.2046,2.19607843137255
9.2048,2.15686274509804
9.205,2.13725490196078
9.2052,2.11764705882353
9.2054,2.11764705882353
9.2056,2.09803921568627
9.2058,2.09803921568627
9.206,2.11764705882353
9.2062,2.11764705882353
9.2064,2.11764705882353
9.2066,2.09803921568627
9.2068,2.11764705882353
9.207,2.13725490196078
9.2072,2.11764705882353
9.2074,2.09803921568627
9.2076,2.13725490196078
9.2078,2.15686274509804
9.208,2.15686274509804
9.2082,2.13725490196078
9.2084,2.13725490196078
9.2086,2.15686274509804
9.2088,2.17647058823529
9.209,2.17647058823529
9.2092,2.17647058823529
9.2094,2.2156862745098
9.2096,2.2156862745098
9.2098,2.19607843137255
9.21,2.19607843137255
9.2102,2.19607843137255
9.2104,2.19607843137255
9.2106,2.17647058823529
9.2108,2.17647058823529
9.211,2.19607843137255
9.2112,2.2156862745098
9.2114,2.19607843137255
9.2116,2.19607843137255
9.2118,2.2156862745098
9.212,2.23529411764706
9.2122,2.2156862745098
9.2124,2.19607843137255
9.2126,2.2156862745098
9.2128,2.2156862745098
9.213,2.2156862745098
9.2132,2.17647058823529
9.2134,2.19607843137255
9.2136,2.2156862745098
9.2138,2.2156862745098
9.214,2.19607843137255
9.2142,2.19607843137255
9.2144,2.23529411764706
9.2146,2.23529411764706
9.2148,2.19607843137255
9.215,2.19607843137255
9.2152,2.2156862745098
9.2154,2.23529411764706
9.2156,2.2156862745098
9.2158,2.19607843137255
9.216,2.23529411764706
9.2162,2.23529411764706
9.2164,2.23529411764706
9.2166,2.2156862745098
9.2168,2.25490196078431
9.217,2.25490196078431
9.2172,2.23529411764706
9.2174,2.23529411764706
9.2176,2.23529411764706
9.2178,2.27450980392157
9.218,2.25490196078431
9.2182,2.23529411764706
9.2184,2.27450980392157
9.2186,2.33333333333333
9.2188,2.35294117647059
9.219,2.37254901960784
9.2192,2.41176470588235
9.2194,2.43137254901961
9.2196,2.43137254901961
9.2198,2.3921568627451
9.22,2.37254901960784
9.2202,2.35294117647059
9.2204,2.31372549019608
9.2206,2.27450980392157
9.2208,2.25490196078431
9.221,2.25490196078431
9.2212,2.25490196078431
9.2214,2.23529411764706
9.2216,2.23529411764706
9.2218,2.23529411764706
9.222,2.23529411764706
9.2222,2.2156862745098
9.2224,2.23529411764706
9.2226,2.27450980392157
9.2228,2.27450980392157
9.223,2.27450980392157
9.2232,2.23529411764706
9.2234,2.25490196078431
9.2236,2.27450980392157
9.2238,2.27450980392157
9.224,2.27450980392157
9.2242,2.29411764705882
9.2244,2.29411764705882
9.2246,2.27450980392157
9.2248,2.27450980392157
9.225,2.35294117647059
9.2252,2.54901960784314
9.2254,2.84313725490196
9.2256,3.19607843137255
9.2258,3.66666666666667
9.226,4.11764705882353
9.2262,4.50980392156863
9.2264,4.3921568627451
9.2266,3.62745098039216
9.2268,2.74509803921569
9.227,2.07843137254902
9.2272,1.76470588235294
9.2274,1.82352941176471
9.2276,2.09803921568627
9.2278,2.29411764705882
9.228,2.33333333333333
9.2282,2.29411764705882
9.2284,2.27450980392157
9.2286,2.27450980392157
9.2288,2.25490196078431
9.229,2.25490196078431
9.2292,2.27450980392157
9.2294,2.29411764705882
9.2296,2.27450980392157
9.2298,2.25490196078431
9.23,2.25490196078431
9.2302,2.27450980392157
9.2304,2.27450980392157
9.2306,2.27450980392157
9.2308,2.29411764705882
9.231,2.33333333333333
9.2312,2.33333333333333
9.2314,2.33333333333333
9.2316,2.33333333333333
9.2318,2.35294117647059
9.232,2.37254901960784
9.2322,2.37254901960784
9.2324,2.37254901960784
9.2326,2.41176470588235
9.2328,2.41176470588235
9.233,2.3921568627451
9.2332,2.3921568627451
9.2334,2.41176470588235
9.2336,2.45098039215686
9.2338,2.45098039215686
9.234,2.45098039215686
9.2342,2.47058823529412
9.2344,2.50980392156863
9.2346,2.50980392156863
9.2348,2.52941176470588
9.235,2.54901960784314
9.2352,2.56862745098039
9.2354,2.58823529411765
9.2356,2.58823529411765
9.2358,2.64705882352941
9.236,2.68627450980392
9.2362,2.68627450980392
9.2364,2.66666666666667
9.2366,2.66666666666667
9.2368,2.68627450980392
9.237,2.72549019607843
9.2372,2.74509803921569
9.2374,2.7843137254902
9.2376,2.84313725490196
9.2378,2.84313725490196
9.238,2.82352941176471
9.2382,2.82352941176471
9.2384,2.84313725490196
9.2386,2.86274509803922
9.2388,2.84313725490196
9.239,2.82352941176471
9.2392,2.82352941176471
9.2394,2.80392156862745
9.2396,2.74509803921569
9.2398,2.68627450980392
9.24,2.66666666666667
9.2402,2.62745098039216
9.2404,2.56862745098039
9.2406,2.50980392156863
9.2408,2.45098039215686
9.241,2.41176470588235
9.2412,2.35294117647059
9.2414,2.29411764705882
9.2416,2.27450980392157
9.2418,2.23529411764706
9.242,2.17647058823529
9.2422,2.13725490196078
9.2424,2.11764705882353
9.2426,2.11764705882353
9.2428,2.11764705882353
9.243,2.07843137254902
9.2432,2.05882352941176
9.2434,2.07843137254902
9.2436,2.07843137254902
9.2438,2.05882352941176
9.244,2.05882352941176
9.2442,2.07843137254902
9.2444,2.09803921568627
9.2446,2.09803921568627
9.2448,2.09803921568627
9.245,2.11764705882353
9.2452,2.13725490196078
9.2454,2.13725490196078
9.2456,2.11764705882353
9.2458,2.15686274509804
9.246,2.19607843137255
